"EpisodeNumber","ItemNumber","Question"
600,1,"In 1835, James Bowman Lindsay demonstrated the first incandescent light bulb, 43 years before Thomas Edison began work on his bulb. "
"EpisodeNumber","ItemNumber","Question"
600,2,"Both the Franklin Stove and bifocals were not original to Benjamin Franklin, but French inventions he popularized in America. "
"EpisodeNumber","ItemNumber","Question"
600,3,"Ernest Duchesne presented for his PhD thesis in 1897 his research finding that Penicillium molds produced a substance which killed bacteria and could be used to treat bacterial infections, 31 years prior to Alexander Fleming’s discovery."
"EpisodeNumber","ItemNumber","Question"
601,1,"A new study finds that exercising only on the weekends, compared to being inactive, has no measurable benefit in terms of heart health and mortality. "
"EpisodeNumber","ItemNumber","Question"
601,2,"Scientists have genetically engineered a Salmonella bacterial species to seek out and destroy glioblastoma tumor cells and have successfully tested the treatment in rats. "
"EpisodeNumber","ItemNumber","Question"
601,3,"The Hubble Space Telescope has discovered a probable new exoplanet using a unique method – by imaging a shadow cast upon a ring of dust surrounding the parent star."
"EpisodeNumber","ItemNumber","Question"
602,1,"Carl Sagan was the first scientist to publicly warn about the possibility of manmade global warming from greenhouse gas emissions, in a 1980 essay. "
"EpisodeNumber","ItemNumber","Question"
602,2,"The 15 hottest years on record since 1880 have all been since 1998. "
"EpisodeNumber","ItemNumber","Question"
602,3,"Climate models show that even if CO2 emissions were stopped entirely, global temperatures would continue to rise for at least a century."
"EpisodeNumber","ItemNumber","Question"
603,1,"The Great Auk was a large flightless sea bird resembling a penguin but living in the North Atlantic. It was driven to extinction by over-hunting in 1844. "
"EpisodeNumber","ItemNumber","Question"
603,2,"The Swift Fox was driven to extinction in the 1930s as part of a deliberate program of predator control in the United States. "
"EpisodeNumber","ItemNumber","Question"
603,3,"The Golden Toad was a common species in Costa Rica, but its population steadily declined with the last sighting in 1989. This was the first species extinction blamed on global warming, but later evidence has cast doubt on that conclusion. "
"EpisodeNumber","ItemNumber","Question"
603,4,"The Zanzibar Leopard once inhabited the Zanzibar archipelago in Tanzania, but was deliberated hunted to extinction because they were thought to be the servants of witches."
"EpisodeNumber","ItemNumber","Question"
604,1,"Manatees are highly territorial and protective of their food source, and are known to attack and kill competitors by laying on top of them in shallow water until they drown. "
"EpisodeNumber","ItemNumber","Question"
604,2,"The Crypt Keeper wasp lays it eggs in the nest of the gall wasp, where hatchlings infest their brains compelling them to dig out of the nest but in a hole that is too small so they get stuck, then the Crypt Keeper eats them from the inside until they finally burst forth through their head. "
"EpisodeNumber","ItemNumber","Question"
604,3,"Sea otters have been observed raping baby harbor seals to death, and sometimes keeping and continuing to copulate with the corpse for up to a week."
"EpisodeNumber","ItemNumber","Question"
605,1,"Scientists report the first discovery of a white dwarf pulsar, the only one known, just 380 light years from Earth. "
"EpisodeNumber","ItemNumber","Question"
605,2,"Hebrew University archaeologists report that they have uncovered a 12th Dead Sea scroll cave with intact jars containing previously undiscovered scrolls. "
"EpisodeNumber","ItemNumber","Question"
605,3,"A new study finds that, with a little provocation, two-thirds of subjects engaged in trolling behavior in online comments."
"EpisodeNumber","ItemNumber","Question"
606,1,"A new study supports the hypothesis that comprehending a word that relates to motor function involves the relevant part of the motor cortex, and not just language cortex. "
"EpisodeNumber","ItemNumber","Question"
606,2,"Using MRI scans, researchers have been able to predict which high-risk infants will go on to develop autism with 90% accuracy as young as 3 months of age. "
"EpisodeNumber","ItemNumber","Question"
606,3,"Engineers have developed brain electrodes that are 1000 times more flexible than previous electrodes, allowing for a stable connection that does not form scar tissue."
"EpisodeNumber","ItemNumber","Question"
607,1,"Researchers demonstrate how they can steal data from a computer, even one that is currently air-gapped, by simply imaging the blinking light on the hard drive. "
"EpisodeNumber","ItemNumber","Question"
607,2,"Physicists at the LHC have found for the first time an asymmetry between normal baryonic matter and its anti-matter counterpart. "
"EpisodeNumber","ItemNumber","Question"
607,3,"A new study finds that cat ownership as a child increases the risk of developing schizophrenia by age 20 by up to 30%."
"EpisodeNumber","ItemNumber","Question"
608,1,"Paleontologists have found the world’s oldest fossils, at least 3.7 billion years old, in Quebec, Canada. "
"EpisodeNumber","ItemNumber","Question"
608,2,"The 94 year old inventor of the lithium-ion battery announced a new battery breakthrough, that has 3 times the energy density, more recharge cycles, greater stability, faster recharge, out of cheaper and environmentally friendly materials. "
"EpisodeNumber","ItemNumber","Question"
608,3,"A new study finds that American homeowners actually lost over $1 billion last year by refinancing incorrectly."
"EpisodeNumber","ItemNumber","Question"
609,1,"Researchers have uncovered evidence that Neanderthal Man was self-medicating with aspirin 50,000 years ago. "
"EpisodeNumber","ItemNumber","Question"
609,2,"Scientists have been able to grow an entire mouse skull using stem cells and scaffolding. "
"EpisodeNumber","ItemNumber","Question"
609,3,"Researchers report that they were able to grow potatoes in simulated Martian soil and atmosphere."
"EpisodeNumber","ItemNumber","Question"
610,1,"A major review of climate change research finds that there is significant publication bias favoring positive studies. "
"EpisodeNumber","ItemNumber","Question"
610,2,"Scientists report that, for the first time, they were able to change adult skin cells into neural stem cells without making any genetic changes. "
"EpisodeNumber","ItemNumber","Question"
610,3,"A newly published estimate concludes that worldwide spiders consume between 400-800 million tons of insects and other invertebrates each year."
"EpisodeNumber","ItemNumber","Question"
611,1,"Bakers are required to remove a piece of the dough prior to baking, the piece, called a challah, is then burned and wasted. "
"EpisodeNumber","ItemNumber","Question"
611,2,"A Passover Goy purchases all the bread products in the home of an orthodox Jew so that they do not own any bread in their house for Passover. "
"EpisodeNumber","ItemNumber","Question"
611,3,"Women during their 'unclean' menstrual period must wash their clothes in a separate machine so as not to contaminate the clothes of others in the house."
"EpisodeNumber","ItemNumber","Question"
612,1,"Two dinosaurs, a velociraptor and a protoceratops, were preserved in a literal action pose, in the act of combat as they clawed and bit each other. "
"EpisodeNumber","ItemNumber","Question"
612,2,"Most dinosaurs did not chew their food, but hadrosaurs did, with their (approximately) 1000 teeth. "
"EpisodeNumber","ItemNumber","Question"
612,3,"Sauropods, the largest dinosaurs, had an enlargement at the base of their spinal cords that acted as a relay center or second brain."
"EpisodeNumber","ItemNumber","Question"
613,1,"A new review of research concludes that adults need significantly less sleep as they age. "
"EpisodeNumber","ItemNumber","Question"
613,2,"In a series of studies, Japanese researchers demonstrate that children as young as six months old are attracted to the heroic acts of others. "
"EpisodeNumber","ItemNumber","Question"
613,3,"A new DNA analysis finds that indigenous people living in the Pacific Northwest display genetic continuity with local populations for at least 10,000 years."
"EpisodeNumber","ItemNumber","Question"
614,1,"Blue whales are heavier than the ten largest known dinosaur species combined. "
"EpisodeNumber","ItemNumber","Question"
614,2,"Jupiter has more mass and volume than all other objects in the solar system, except for the sun, combined. "
"EpisodeNumber","ItemNumber","Question"
614,3,"The military budget of the US is greater than the military budgets of the next 7 largest combined. "
"EpisodeNumber","ItemNumber","Question"
614,4,"The Amazon river has more discharge then the next 7 largest rivers combined."
"EpisodeNumber","ItemNumber","Question"
615,1,"In a new study researchers find that neurons are able to form a network in the absence of synaptic activity. "
"EpisodeNumber","ItemNumber","Question"
615,2,"Scientists have shown that homing pigeons are able to pass on knowledge to subsequent generations, the first non-primate species to demonstrate this ability. "
"EpisodeNumber","ItemNumber","Question"
615,3,"Scientists find that even starting with a single female cockroach, they are able to reproduce asexually and indefinitely maintain a large population."
"EpisodeNumber","ItemNumber","Question"
616,1,"Socrates left behind no writings. We know of him only from the accounts of others. "
"EpisodeNumber","ItemNumber","Question"
616,2,"The ancient Greeks greatly revered large penis size, which they believed was a source of strength and courage. "
"EpisodeNumber","ItemNumber","Question"
616,3,"There were proctologists in ancient Egypt who were called, neru phuyt, which literally translates to 'shepherd of the anus'."
"EpisodeNumber","ItemNumber","Question"
617,1,"New research finds that being bilingual increases one’s ability to estimate the subjective passage of time. "
"EpisodeNumber","ItemNumber","Question"
617,2,"In a recent large study, social smokers had as much of an increase in cardiovascular risk factors as daily smokers. "
"EpisodeNumber","ItemNumber","Question"
617,3,"Scientists report in a recent study that honey bee hives are healthier in the presence of traditional agriculture compared to non-agricultural areas."
"EpisodeNumber","ItemNumber","Question"
618,1,"So far specimens have been found from at least 18 individuals, and researchers expect the cave contain many more specimens. "
"EpisodeNumber","ItemNumber","Question"
618,2,"Evidence suggests that the naledi bones were likely brought to the cave by predators. "
"EpisodeNumber","ItemNumber","Question"
618,3,"Although the naledi specimens share primitive traits with Australopithecines millions of years old, the remains have been dated to between 335 and 236 thousand years ago."
"EpisodeNumber","ItemNumber","Question"
619,1,"NASA data finds that terrestrial radio communications push the Van Allen Belts and other high energy radiation away from the Earth, and may be useful as a shield against harmful space weather. "
"EpisodeNumber","ItemNumber","Question"
619,2,"A new study supports the hypothesis that metabolism arose prior to RNA in the origins of life on Earth. "
"EpisodeNumber","ItemNumber","Question"
619,3,"New evidence suggests that the first mass extinction at the end of the Ordovician was caused by climate change triggered by a massive coronal mass ejection."
"EpisodeNumber","ItemNumber","Question"
620,1,"Because of their rebellious nature, goats were difficult to domesticate, which likely did not occur until about 3,000 years ago. "
"EpisodeNumber","ItemNumber","Question"
620,2,"Moroccan goats climb to the tops of trees where they graze on leaves and nuts, and spit out seeds to help spread the trees. "
"EpisodeNumber","ItemNumber","Question"
620,3,"Scientists have found that goats have regional accents, and will change their accent when they move to a new region. "
"EpisodeNumber","ItemNumber","Question"
620,4,"Goats milk is naturally homogenized, contains less fat and is consumed by more people around the world than cow’s milk."
"EpisodeNumber","ItemNumber","Question"
621,1,"Scientists have sequenced the genome of mice that have been treated with CRISPR-Cas9 and found over 1,500 unintended mutations. "
"EpisodeNumber","ItemNumber","Question"
621,2,"Astronomers have discovered that some large stars may collapse directly into a black hole without ever going supernova, and estimate this happens 10-30% of the time. "
"EpisodeNumber","ItemNumber","Question"
621,3,"In a new study scientists found that washing your hands with water at 100 degrees F (37 C) killed more than three times as many bacteria as washing in 60 degree (15 C) water."
"EpisodeNumber","ItemNumber","Question"
622,1,"Plants use three different types of photosynthesis: C3, C4, and CAM (crassulacean acid metabolism), but almost all trees use the less efficient C3 cycle. "
"EpisodeNumber","ItemNumber","Question"
622,2,"A 206 acre stand of aspen trees in Utah is actually a single organism weighing 6 million kilograms and estimated to be 80,000 years old. "
"EpisodeNumber","ItemNumber","Question"
622,3,"The Dragon’s Blood tree has deep red sap that has been used for centuries as a medicinal and a varnish, and contains a powerful hallucinogen similar in chemistry and effect to LSD."
"EpisodeNumber","ItemNumber","Question"
623,1,"Vienna has a population of 1.8 million, which is the same as its population in 1900, and represents over one quarter of the entire population of Austria. "
"EpisodeNumber","ItemNumber","Question"
623,2,"Both the snow globe and the Pez dispenser were invented and first sold in Vienna. "
"EpisodeNumber","ItemNumber","Question"
623,3,"Schönbrunn palace, the summer home of the Hapsburgs, was modest by European standards, containing 74 rooms. "
"EpisodeNumber","ItemNumber","Question"
623,4,"In the old markets of Vienna it was common to find monkey grooming services, to pay to have a monkey remove lice and fleas from your head."
"EpisodeNumber","ItemNumber","Question"
624,1,"A new analysis of the English language over 1,000 years finds that word use changes in unpredictable ways and is strongly influenced by high profile individuals. "
"EpisodeNumber","ItemNumber","Question"
624,2,"A new study finds that American 19 year-olds are as sedentary as 60 year-olds. "
"EpisodeNumber","ItemNumber","Question"
624,3,"A survey of 2000 exoplanets finds a distinct gap in the size of worlds from 1.75 to 2.0 times the size of Earth for as yet unknown reasons."
"EpisodeNumber","ItemNumber","Question"
625,1,"Engineers at Caltech have created a flat camera that can focus light without a lens. "
"EpisodeNumber","ItemNumber","Question"
625,2,"Astronomers believe they have found evidence for yet another planet in our solar system, 60 AU away from the sun and between the mass of Mars and the Earth. "
"EpisodeNumber","ItemNumber","Question"
625,3,"Australian scientists report a new method to convert atmospheric CO2 directly into a form a coal."
"EpisodeNumber","ItemNumber","Question"
626,1,"Mark Twain's first success as a writer was his 1865 short story, The Celebrated Jumping Frog of Calaveras County. However, the story was not his own creation. An acquaintance in a bar told him the story and he adapted it into the famous short story. "
"EpisodeNumber","ItemNumber","Question"
626,2,"Mark Twain kept both cats and dogs as pets. He loved cats, but he did not care much for dogs. At one point his family had three pet collies which he named Belzebub, Pestilence, and Blatherskite. "
"EpisodeNumber","ItemNumber","Question"
626,3,"Mark Twain and his wife Olivia slepped in their bed in reverse with their heads and the foot of the bed and their feet at the head of the bed, and they slept in a propped up position because they believed it was healthier than sleeping lying down."
"EpisodeNumber","ItemNumber","Question"
627,1,"A new study finds that states with stricter child safety seat laws, including significant fines, on average reduces the rate of unrestrained children in half. "
"EpisodeNumber","ItemNumber","Question"
627,2,"A new Baltimore study finds that poorer neighborhoods have larger mosquito populations. "
"EpisodeNumber","ItemNumber","Question"
627,3,"Researchers find that young children learn twice as many new words when read to from books with only one picture per page than ones with two or more pictures."
"EpisodeNumber","ItemNumber","Question"
629,1,"A new study finds that humans are able to identify emotions from the vocalizations of all air-breathing vertebrates. "
"EpisodeNumber","ItemNumber","Question"
629,2,"Researchers have genetically modified human skin cells to make them 100 times more resistant to damage from UV light without a change in pigment. "
"EpisodeNumber","ItemNumber","Question"
629,3,"A new review of studies finds that sperm count has decreased by 50% in Western males in the last 40 years."
"EpisodeNumber","ItemNumber","Question"
630,1,"Scientists report that they have successfully used CRISPR to fix a disease-causing gene mutation in a newly fertilized egg, effectively curing the disease and preventing its further inheritance. "
"EpisodeNumber","ItemNumber","Question"
630,2,"Researchers have demonstrated that by analyzing millions of tweets they can predict the perpetrators of specific crimes. "
"EpisodeNumber","ItemNumber","Question"
630,3,"A new genetic analysis finds that scorpions and spiders share a common ancestor."
"EpisodeNumber","ItemNumber","Question"
631,1,"Paleontologists have discovered the new largest dinosaur known, a titanosaur that weighed 76 tons, almost as much as the space shuttle. "
"EpisodeNumber","ItemNumber","Question"
631,2,"Astronomers have discovered a new class of variable stars that oscillate over minutes rather than days. "
"EpisodeNumber","ItemNumber","Question"
631,3,"A new analysis concludes that a 1,500 year old petroglyph found in Colorado depicts a nearby supernova."
"EpisodeNumber","ItemNumber","Question"
632,1,"Scientists have developed a technique for imaging subjective pain intensity using electroencephalogram. "
"EpisodeNumber","ItemNumber","Question"
632,2,"Scientists have developed a technique for imaging nerves intraoperatively using only polarized light with 100% accuracy. "
"EpisodeNumber","ItemNumber","Question"
632,3,"Researchers have developed a new MRI scan technique that allows for imaging in two colors at once."
"EpisodeNumber","ItemNumber","Question"
633,1,"NASA is predicting that in November there will be 15 days of complete darkness. "
"EpisodeNumber","ItemNumber","Question"
633,2,"The LA Police Department plans to spend $1 billion on jet packs for their officers. "
"EpisodeNumber","ItemNumber","Question"
633,3,"A killer goose the size of an ostrich menaced visitors to Isle Royale national park in Michigan, killing 3 people, and has yet to be captured."
"EpisodeNumber","ItemNumber","Question"
634,1,"A new study finds that eating a bland meal resulted in the release of greater endorphins in the brain than eating a delicious meal. "
"EpisodeNumber","ItemNumber","Question"
634,2,"A new analysis finds that ancient Roman drinking water, despite the widespread use of lead pipes, was likely perfectly safe. "
"EpisodeNumber","ItemNumber","Question"
634,3,"Researchers find that 80-year-olds are as street savvy (able to determine how threatening someone is likely to be) as 18-year-olds."
"EpisodeNumber","ItemNumber","Question"
635,1,"The needless hypospray actually predates Star Trek; it was developed and used in 1960. "
"EpisodeNumber","ItemNumber","Question"
635,2,"China has developed a handheld heat ray gun that is lethal at up to 60 meters. "
"EpisodeNumber","ItemNumber","Question"
635,3,"The US Military has developed 'Iron Man' type full body armor with internal monitors and heads up display."
"EpisodeNumber","ItemNumber","Question"
636,1,"In a recent paper computer scientists argue that the soon to be developed quantum computers will completely destroy all existing internet security. "
"EpisodeNumber","ItemNumber","Question"
636,2,"The first global map of water in the Moon’s soil shows a patchy pattern largely confined to the poles. "
"EpisodeNumber","ItemNumber","Question"
636,3,"A new study finds that squirrels organize their nut caches by various criteria, such as type and quality."
"EpisodeNumber","ItemNumber","Question"
637,1,"Scientists have engineered a hyper-accurate CRISPR-Cas9 system that make far fewer off target errors. "
"EpisodeNumber","ItemNumber","Question"
637,2,"Researchers find in a new analysis that gun shot victims transported to the trauma center by a private vehicle had significantly lower mortality than those transported by ambulance. "
"EpisodeNumber","ItemNumber","Question"
637,3,"A new study finds that motivation to do work steadily decreases throughout the day, despite the number or type of tasks undertaken."
"EpisodeNumber","ItemNumber","Question"
638,1,"Observations of Saturn’s rings show the possible formation of a new moon from the outer edge. This suggests that ring material may not only rain inward onto Saturn, but move outward forming new moons. "
"EpisodeNumber","ItemNumber","Question"
638,2,"Cassini’s long term observations were used to calculate the length of Saturn’s day for the first time. "
"EpisodeNumber","ItemNumber","Question"
638,3,"Saturn’s moon Titan has hundreds of times as much hydrocarbons on its surface than all the oil and gas reserves on Earth."
"EpisodeNumber","ItemNumber","Question"
639,1,"New observations of the star KIC 8462852 show that in addition to dimming it also undergoes periods of brightening, a fact that disproves most current hypotheses about what is causing the changes to the star’s brightness. "
"EpisodeNumber","ItemNumber","Question"
639,2,"Scientists have developed a new nanomaterial that can directly convert seawater into electricity, essentially using the ocean as a giant battery. "
"EpisodeNumber","ItemNumber","Question"
639,3,"Researchers find in an international study that people distrust those of different political ideology more than of different race or religion."
"EpisodeNumber","ItemNumber","Question"
640,1,"Engineers have built a usable nano-battery using waste graphite that has sufficient energy density to run a pacemaker for 20 years. "
"EpisodeNumber","ItemNumber","Question"
640,2,"Researchers have developed an air-breathing flow battery usable for grid storage that costs 20% as much as lithium-ion batteries with nearly as much energy density. "
"EpisodeNumber","ItemNumber","Question"
640,3,"A new analysis finds that there are enough raw materials available to meet projected demand for lithium-ion battery production for at least 15 years."
"EpisodeNumber","ItemNumber","Question"
641,1,"An Atoll is a ring-shaped island that is left behind after its barrier reef has died. "
"EpisodeNumber","ItemNumber","Question"
641,2,"A coral’s mouth is also its anus. "
"EpisodeNumber","ItemNumber","Question"
641,3,"Individual coral polyps may be male, female, both, or neither and corals reproduce either sexually or asexually. "
"EpisodeNumber","ItemNumber","Question"
641,4,"Tropical white sand is mostly comprised of coral that was pooped out of a parrot fish."
"EpisodeNumber","ItemNumber","Question"
643,1,"During World War II a Nazi plan to blow up the Hoover dam was narrowly thwarted by an observant fisherman who reported the agents' suspicious activity. "
"EpisodeNumber","ItemNumber","Question"
643,2,"Las Vegas serves 60 thousand pounds of shrimp every day, more than the rest of the United States combined. "
"EpisodeNumber","ItemNumber","Question"
643,3,"In the 1950s atomic testing was conducted just 65 miles North of Las Vegas and was clearly visible from the casinos and promoted as a tourist attraction."
"EpisodeNumber","ItemNumber","Question"
644,1,"Doctors report that they successfully transplanted genetically modified skin derived from stem cells to over 80% of a patient’s body. "
"EpisodeNumber","ItemNumber","Question"
644,2,"A new study finds that stimulating the frontal lobes in order to increase analytical thinking reduces the level of supernatural beliefs in subjects. "
"EpisodeNumber","ItemNumber","Question"
644,3,"Astronomers report the first discovery of a star that underwent multiple supernova explosions over 50 years and somehow survived."
"EpisodeNumber","ItemNumber","Question"
645,1,"The New Haven Colony, founded in 1638, was considered the most progressive in New England. Their charter guaranteed religious freedom, banned slavery, and established public education. "
"EpisodeNumber","ItemNumber","Question"
645,2,"Sweden attempted to establish themselves in the new world, creating New Sweden in Delaware, Southern New Jersey, and Eastern Pennsylvania. "
"EpisodeNumber","ItemNumber","Question"
645,3,"The deadliest war in America, in terms of per capita deaths, was King Philip’s war in New England in 1675-76, which saw the complete destruction of 12 settlements."
"EpisodeNumber","ItemNumber","Question"
646,1,"Today we know the organization as the Committee for Skeptical Inquiry. However, back in 1976 the originally suggested name for the organization was, The Committee for the Investigation of Claims of the Paranormal and Other Phenomena. "
"EpisodeNumber","ItemNumber","Question"
646,2,"Carl Sagan famously suggested that one of the founding principles of the organization (CSI) is, 'Extraordinary claims require extraordinary evidence.' "
"EpisodeNumber","ItemNumber","Question"
646,3,"In 1989 multiple libel law suits against CSICOP were initiated, seeking a total of 53 million dollars in damages."
"EpisodeNumber","ItemNumber","Question"
647,1,"Dogs have twice the neuronal density as cats. "
"EpisodeNumber","ItemNumber","Question"
647,2,"On average domesticated species have significantly lower neuronal density than their wild counterparts. "
"EpisodeNumber","ItemNumber","Question"
647,3,"Contrary to what the researchers expected to find, carnivorous species did not have greater neuronal density than prey species. "
"EpisodeNumber","ItemNumber","Question"
647,4,"The racoon was an outlier among the carnivores, with a neuronal density equal to that of primates."
"EpisodeNumber","ItemNumber","Question"
648,1,"Researchers find that viruses share some of their genes across all kingdoms of life, not just the ones they infect. "
"EpisodeNumber","ItemNumber","Question"
648,2,"A new study finds that playing 3D video games increased gray matter in the memory forming parts of the brain. "
"EpisodeNumber","ItemNumber","Question"
648,3,"Researchers have demonstrated a new technique for 3D printing entire organs made out of a host’s own stem cells."
"EpisodeNumber","ItemNumber","Question"
649,1,"Scientists report a breakthrough with hydrogen-boron fusion using lasers and predict a working prototype within 10 years. "
"EpisodeNumber","ItemNumber","Question"
649,2,"Engineers at Wageningen University have developed a system by which they can harvest electricity directly from plants, and bioengineered a tree that, when mature, several together can produce enough electricity to power a small home. "
"EpisodeNumber","ItemNumber","Question"
649,3,"Researchers demonstrate a method they claim can be used to convert 850 million tons of atmospheric CO2 into a mineral each year, using seawater and scrap metal, and producing hydrogen as a side product."
"EpisodeNumber","ItemNumber","Question"
650,1,"New research on medieval cathedral glass finds that it flows 16 orders of magnitude faster than previously estimated. "
"EpisodeNumber","ItemNumber","Question"
650,2,"New flu vaccine practice guidelines increase precautions for patients with egg allergies due to an increase in reported allergic reactions. "
"EpisodeNumber","ItemNumber","Question"
650,3,"Researchers have successfully harnessed sperm to deliver chemotherapy directly to cervical cancer cells."
